journal,impact_factor,quartile,jcr_quartile,cas_quartile,jif_rank,category,cas_top,open_access,source
Data & Policy,2.7,JCR Q2 / CAS 4区,Q2,CAS 4区,24/90,PUBLIC ADMINISTRATION(ESCI),否,是,2025 CAS/JCR user table
DATA BASE FOR ADVANCES IN INFORMATION SYSTEMS,1.5,JCR Q2 / CAS 4区,Q2,CAS 4区,73/166,INFORMATION SCIENCE & LIBRARY SCIENCE(SSCI),否,否,2025 CAS/JCR user table
Data in Brief,1.4,JCR Q3 / CAS 4区,Q3,CAS 4区,68/135,MULTIDISCIPLINARY SCIENCES(ESCI),否,是,2025 CAS/JCR user table
Data Intelligence,1.9,JCR Q3 / CAS 2区,Q3,CAS 2区,163/258,"COMPUTER SCIENCE, INFORMATION SYSTEMS(ESCI)",否,是,2025 CAS/JCR user table
DATA MINING AND KNOWLEDGE DISCOVERY,4.3,JCR Q2 / CAS 3区,Q2,CAS 3区,65/258,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE)",否,否,2025 CAS/JCR user table
Data Science and Engineering,4.6,JCR Q1 / CAS 1区,Q1,CAS 1区,21/147,"COMPUTER SCIENCE, INFORMATION SYSTEMS(ESCI);COMPUTER SCIENCE, THEORY & METHODS(ESCI)",是,是,2025 CAS/JCR user table
Data Science in Finance and Economics,2.2,JCR Q2 / CAS 4区,Q2,CAS 4区,189/617,"BUSINESS, FINANCE(ESCI);ECONOMICS(ESCI);SOCIAL SCIENCES, MATHEMATICAL METHODS(ESCI)",否,是,2025 CAS/JCR user table
Data Technologies and Applications,1.5,JCR Q2 / CAS 4区,Q2,CAS 4区,73/166,"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);INFORMATION SCIENCE & LIBRARY SCIENCE(SSCI)",否,否,2025 CAS/JCR user table
Data-Centric Engineering,2.8,JCR Q2 / CAS 3区,Q2,CAS 3区,46/175,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(ESCI);COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(ESCI);ENGINEERING, MULTIDISCIPLINARY(ESCI)",否,是,2025 CAS/JCR user table
Database-The Journal of Biological Databases and Curation,3.6,JCR Q1 / CAS 4区,Q1,CAS 4区,12/67,MATHEMATICAL & COMPUTATIONAL BIOLOGY(SCIE),否,是,2025 CAS/JCR user table
DDS-Die Deutsche Schule,0.3,JCR Q4 / CAS 4区,Q4,CAS 4区,628/756,EDUCATION & EDUCATIONAL RESEARCH(ESCI),否,是,2025 CAS/JCR user table
De Arte,0.1,JCR N/A / CAS 4区,N/A,CAS 4区,N/A,ART(ESCI),否,否,2025 CAS/JCR user table
De Computis-Revista Espanola de Historia de la Contabilidad,0.1,JCR Q4 / CAS 4区,Q4,CAS 4区,233/241,"BUSINESS, FINANCE(ESCI)",否,是,2025 CAS/JCR user table
De Jure Law Journal,0.2,JCR Q3 / CAS 4区,Q3,CAS 4区,313/434,LAW(ESCI),否,是,2025 CAS/JCR user table
De Medio Aevo,0.1,JCR N/A / CAS 3区,N/A,CAS 3区,N/A,MEDIEVAL & RENAISSANCE STUDIES(ESCI),否,是,2025 CAS/JCR user table
Dead Sea Discoveries,0.1,JCR N/A / CAS 1区,N/A,CAS 1区,N/A,RELIGION(AHCI),是,否,2025 CAS/JCR user table
Deafness & Education International,1.0,JCR Q3 / CAS 4区,Q3,CAS 4区,435/756,EDUCATION & EDUCATIONAL RESEARCH(ESCI),否,否,2025 CAS/JCR user table
Dearq,0.1,JCR N/A / CAS 4区,N/A,CAS 4区,N/A,ARCHITECTURE(ESCI),否,是,2025 CAS/JCR user table
DEATH STUDIES,1.8,JCR Q2 / CAS 4区,Q2,CAS 4区,96/221,"PSYCHOLOGY, MULTIDISCIPLINARY(SSCI);SOCIAL ISSUES(SSCI);SOCIAL SCIENCES, BIOMEDICAL(SSCI)",否,否,2025 CAS/JCR user table
Debate Universitario,0.1,JCR Q4 / CAS 4区,Q4,CAS 4区,700/756,EDUCATION & EDUCATIONAL RESEARCH(ESCI),否,是,2025 CAS/JCR user table
Debates,<0.1,JCR N/A / CAS 4区,N/A,CAS 4区,N/A,MUSIC(ESCI),否,否,2025 CAS/JCR user table
Debates en Sociologia,0.2,JCR Q4 / CAS 4区,Q4,CAS 4区,201/219,SOCIOLOGY(ESCI),否,是,2025 CAS/JCR user table
Debats-Revista de Cultura Poder i Societat,0.2,JCR Q4 / CAS 4区,Q4,CAS 4区,224/271,"SOCIAL SCIENCES, INTERDISCIPLINARY(ESCI)",否,是,2025 CAS/JCR user table
Decision,1.0,JCR Q4 / CAS 4区,Q4,CAS 4区,341/420,MANAGEMENT(ESCI),否,否,2025 CAS/JCR user table
Decision Analysis,1.5,JCR Q3 / CAS 4区,Q3,CAS 4区,301/420,MANAGEMENT(SSCI),否,否,2025 CAS/JCR user table
Decision Science Letters,1.1,JCR Q4 / CAS 4区,Q4,CAS 4区,91/106,OPERATIONS RESEARCH & MANAGEMENT SCIENCE(ESCI),否,是,2025 CAS/JCR user table
DECISION SCIENCES,2.5,JCR Q3 / CAS 4区,Q3,CAS 4区,229/420,MANAGEMENT(SSCI),否,否,2025 CAS/JCR user table
Decision Sciences-Journal of Innovative Education,1.0,JCR Q3 / CAS 4区,Q3,CAS 4区,435/756,EDUCATION & EDUCATIONAL RESEARCH(ESCI),否,否,2025 CAS/JCR user table
DECISION SUPPORT SYSTEMS,6.8,JCR Q1 / CAS 2区,Q1,CAS 2区,21/258,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);OPERATIONS RESEARCH & MANAGEMENT SCIENCE(SCIE)",是,否,2025 CAS/JCR user table
Decision-Washington,1.2,JCR Q3 / CAS 3区,Q3,CAS 3区,133/221,"PSYCHOLOGY, MULTIDISCIPLINARY(ESCI)",否,否,2025 CAS/JCR user table
Decisions in Economics and Finance,0.7,JCR Q4 / CAS 4区,Q4,CAS 4区,58/68,"SOCIAL SCIENCES, MATHEMATICAL METHODS(ESCI)",否,否,2025 CAS/JCR user table
Deep Underground Science and Engineering,5.0,JCR Q1 / CAS 4区,Q1,CAS 4区,13/65,"ENGINEERING, GEOLOGICAL(ESCI)",否,否,2025 CAS/JCR user table
DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS,2.1,JCR Q2 / CAS 2区,Q2,CAS 2区,32/65,OCEANOGRAPHY(SCIE),否,否,2025 CAS/JCR user table
DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY,3.0,JCR Q1 / CAS 3区,Q1,CAS 3区,14/65,OCEANOGRAPHY(SCIE),否,否,2025 CAS/JCR user table
DEFENCE AND PEACE ECONOMICS,1.6,JCR Q2 / CAS 3区,Q2,CAS 3区,276/617,ECONOMICS(SSCI),否,否,2025 CAS/JCR user table
Defence and Security Analysis,1.1,JCR Q3 / CAS 4区,Q3,CAS 4区,94/169,INTERNATIONAL RELATIONS(ESCI),否,否,2025 CAS/JCR user table
DEFENCE SCIENCE JOURNAL,0.7,JCR Q3 / CAS 4区,Q3,CAS 4区,95/135,MULTIDISCIPLINARY SCIENCES(SCIE),否,否,2025 CAS/JCR user table
Defence Technology,5.9,JCR Q1 / CAS 1区,Q1,CAS 1区,13/175,"ENGINEERING, MULTIDISCIPLINARY(SCIE)",是,是,2025 CAS/JCR user table
Degenerative Neurological and Neuromuscular Disease,3.2,JCR Q2 / CAS 4区,Q2,CAS 4区,93/285,CLINICAL NEUROLOGY(ESCI),否,否,2025 CAS/JCR user table
DEGRES-REVUE DE SYNTHESE A ORIENTATION SEMIOLOGIQUE,<0.1,JCR N/A / CAS 4区,N/A,CAS 4区,N/A,"HUMANITIES, MULTIDISCIPLINARY(AHCI)",否,否,2025 CAS/JCR user table
Deleuze and Guattari Studies,0.2,JCR N/A / CAS 3区,N/A,CAS 3区,N/A,PHILOSOPHY(AHCI),否,否,2025 CAS/JCR user table
Deltion of the Christian Archaeological Society,待核实,CAS 4区,待核实,CAS 4区,,,否,否,2025 CAS/JCR user table
DEMENTIA AND GERIATRIC COGNITIVE DISORDERS,1.9,JCR Q3 / CAS 4区,Q3,CAS 4区,176/288,CLINICAL NEUROLOGY(SCIE);GERIATRICS & GERONTOLOGY(SCIE);PSYCHIATRY(SCIE),否,否,2025 CAS/JCR user table
Dementia and Geriatric Cognitive Disorders Extra,1.6,JCR Q3 / CAS 4区,Q3,CAS 4区,210/285,CLINICAL NEUROLOGY(ESCI),否,是,2025 CAS/JCR user table
Dementia-International Journal of Social Research and Practice,2.2,JCR Q2 / CAS 3区,Q2,CAS 3区,18/48,GERONTOLOGY(SSCI),否,否,2025 CAS/JCR user table
Democracy & Security,1.3,JCR Q2 / CAS 4区,Q2,CAS 4区,161/322,POLITICAL SCIENCE(ESCI),否,否,2025 CAS/JCR user table
Democratic Theory-An Interdisciplinary Journal,0.9,JCR Q3 / CAS 4区,Q3,CAS 4区,202/322,POLITICAL SCIENCE(ESCI),否,是,2025 CAS/JCR user table
Democratization,2.9,JCR Q1 / CAS 1区,Q1,CAS 1区,54/322,POLITICAL SCIENCE(SSCI),是,否,2025 CAS/JCR user table
Demografie,0.6,JCR Q4 / CAS 4区,Q4,CAS 4区,41/50,DEMOGRAPHY(ESCI),否,否,2025 CAS/JCR user table
Demographic Research,2.0,JCR Q2 / CAS 3区,Q2,CAS 3区,16/50,DEMOGRAPHY(SSCI),否,是,2025 CAS/JCR user table
DEMOGRAPHY,3.6,JCR Q1 / CAS 1区,Q1,CAS 1区,3/50,DEMOGRAPHY(SSCI),是,否,2025 CAS/JCR user table
Demonstratio Mathematica,2.1,JCR Q1 / CAS 2区,Q1,CAS 2区,31/483,MATHEMATICS(SCIE),否,是,2025 CAS/JCR user table
DEN Open,1.5,JCR Q4 / CAS 4区,Q4,CAS 4区,113/147,GASTROENTEROLOGY & HEPATOLOGY(ESCI),否,否,2025 CAS/JCR user table
Dendrobiology,1.8,JCR Q2 / CAS 3区,Q2,CAS 3区,33/92,FORESTRY(SCIE),否,否,2025 CAS/JCR user table
DENDROCHRONOLOGIA,2.3,JCR Q2 / CAS 2区,Q2,CAS 2区,28/92,"FORESTRY(SCIE);GEOGRAPHY, PHYSICAL(SCIE)",否,否,2025 CAS/JCR user table
DENKMALPFLEGE,0.1,JCR N/A / CAS 4区,N/A,CAS 4区,N/A,ARCHITECTURE(AHCI),否,否,2025 CAS/JCR user table
Dental and Medical Problems,3.9,JCR Q1 / CAS 3区,Q1,CAS 3区,18/162,"DENTISTRY, ORAL SURGERY & MEDICINE(ESCI);MEDICINE, GENERAL & INTERNAL(ESCI)",否,是,2025 CAS/JCR user table
Dental Cadmos,0.2,JCR Q4 / CAS 4区,Q4,CAS 4区,155/162,"DENTISTRY, ORAL SURGERY & MEDICINE(ESCI)",否,否,2025 CAS/JCR user table
Dental Hypotheses,1.6,JCR Q3 / CAS 4区,Q3,CAS 4区,97/162,"DENTISTRY, ORAL SURGERY & MEDICINE(ESCI)",否,是,2025 CAS/JCR user table
DENTAL MATERIALS,6.3,JCR Q1 / CAS 1区,Q1,CAS 1区,6/162,"DENTISTRY, ORAL SURGERY & MEDICINE(SCIE);MATERIALS SCIENCE, BIOMATERIALS(SCIE)",是,否,2025 CAS/JCR user table
DENTAL MATERIALS JOURNAL,1.9,JCR Q2 / CAS 4区,Q2,CAS 4区,77/162,"DENTISTRY, ORAL SURGERY & MEDICINE(SCIE);MATERIALS SCIENCE, BIOMATERIALS(SCIE)",否,否,2025 CAS/JCR user table
DENTAL TRAUMATOLOGY,3.1,JCR Q1 / CAS 3区,Q1,CAS 3区,30/162,"DENTISTRY, ORAL SURGERY & MEDICINE(SCIE)",否,否,2025 CAS/JCR user table
Dentistry Journal,3.1,JCR Q1 / CAS 3区,Q1,CAS 3区,30/162,"DENTISTRY, ORAL SURGERY & MEDICINE(ESCI)",否,是,2025 CAS/JCR user table
DENTOMAXILLOFACIAL RADIOLOGY,4.1,JCR Q1 / CAS 3区,Q1,CAS 3区,12/162,"DENTISTRY, ORAL SURGERY & MEDICINE(SCIE);RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(SCIE)",否,否,2025 CAS/JCR user table
Denver Law Review,待核实,CAS 4区,待核实,CAS 4区,,,否,否,2025 CAS/JCR user table
Departures in Critical Qualitative Research,0.3,JCR Q3 / CAS 4区,Q3,CAS 4区,203/271,"SOCIAL SCIENCES, INTERDISCIPLINARY(ESCI)",否,否,2025 CAS/JCR user table
Dependence Modeling,0.8,JCR Q3 / CAS 4区,Q3,CAS 4区,120/167,STATISTICS & PROBABILITY(ESCI),否,是,2025 CAS/JCR user table
Depositional Record,2.0,JCR Q1 / CAS 4区,Q1,CAS 4区,10/61,GEOLOGY(SCIE),否,是,2025 CAS/JCR user table
DEPRESSION AND ANXIETY,3.3,JCR Q1 / CAS 2区,Q1,CAS 2区,15/93,"PSYCHIATRY(SCIE, SSCI);PSYCHOLOGY(SCIE);PSYCHOLOGY, CLINICAL(SSCI)",否,是,2025 CAS/JCR user table
Derecho Penal y Criminologia,0.1,JCR Q4 / CAS 4区,Q4,CAS 4区,363/434,LAW(ESCI),否,是,2025 CAS/JCR user table
Derecho PUCP,0.5,JCR Q3 / CAS 4区,Q3,CAS 4区,225/434,LAW(ESCI),否,是,2025 CAS/JCR user table
Derecho y Ciencias Sociales,0.1,JCR Q4 / CAS 4区,Q4,CAS 4区,363/434,LAW(ESCI),否,否,2025 CAS/JCR user table
Derechos y Libertades,0.5,JCR Q3 / CAS 4区,Q3,CAS 4区,225/434,LAW(ESCI),否,是,2025 CAS/JCR user table
Dermatitis,3.2,JCR Q1 / CAS 2区,Q1,CAS 2区,22/96,DERMATOLOGY(SCIE),否,否,2025 CAS/JCR user table
DERMATOLOGIC CLINICS,2.5,JCR Q2 / CAS 3区,Q2,CAS 3区,40/96,DERMATOLOGY(SCIE),否,否,2025 CAS/JCR user table
DERMATOLOGIC SURGERY,2.2,JCR Q2 / CAS 3区,Q2,CAS 3区,95/312,DERMATOLOGY(SCIE);SURGERY(SCIE),否,否,2025 CAS/JCR user table
Dermatologic Therapy,3.4,JCR Q1 / CAS 3区,Q1,CAS 3区,19/96,DERMATOLOGY(SCIE),否,否,2025 CAS/JCR user table
Dermatologica Sinica,2.2,JCR Q2 / CAS 4区,Q2,CAS 4区,45/96,DERMATOLOGY(SCIE),否,是,2025 CAS/JCR user table
Dermatologie,0.7,JCR Q4 / CAS 4区,Q4,CAS 4区,83/96,DERMATOLOGY(SCIE),否,否,2025 CAS/JCR user table
Dermatologie in Beruf und Umwelt,0.5,JCR Q4 / CAS 4区,Q4,CAS 4区,85/96,DERMATOLOGY(ESCI),否,否,2025 CAS/JCR user table
DERMATOLOGY,2.7,JCR Q2 / CAS 3区,Q2,CAS 3区,35/96,DERMATOLOGY(SCIE),否,否,2025 CAS/JCR user table
Dermatology and Therapy,4.2,JCR Q1 / CAS 3区,Q1,CAS 3区,12/96,DERMATOLOGY(SCIE),否,是,2025 CAS/JCR user table
Dermatology Practical & Conceptual,2.3,JCR Q2 / CAS 4区,Q2,CAS 4区,44/96,DERMATOLOGY(SCIE),否,是,2025 CAS/JCR user table
Dermatology Reports,1.3,JCR Q3 / CAS 4区,Q3,CAS 4区,67/96,DERMATOLOGY(ESCI),否,是,2025 CAS/JCR user table
Dermatology Research and Practice,1.9,JCR Q3 / CAS 4区,Q3,CAS 4区,53/96,DERMATOLOGY(ESCI),否,是,2025 CAS/JCR user table
Dermatopathology,1.7,JCR Q3 / CAS 4区,Q3,CAS 4区,59/96,DERMATOLOGY(ESCI),否,是,2025 CAS/JCR user table
Derrida Today,0.2,JCR N/A / CAS 3区,N/A,CAS 3区,N/A,PHILOSOPHY(ESCI),否,否,2025 CAS/JCR user table
Desafios,0.9,JCR Q3 / CAS 4区,Q3,CAS 4区,202/322,POLITICAL SCIENCE(ESCI),否,是,2025 CAS/JCR user table
DESALINATION,9.8,JCR Q1 / CAS 2区,Q1,CAS 2区,4/131,"ENGINEERING, CHEMICAL(SCIE);WATER RESOURCES(SCIE)",是,否,2025 CAS/JCR user table
Desalination and Water Treatment,1.0,JCR Q4 / CAS 4区,Q4,CAS 4区,143/175,"ENGINEERING, CHEMICAL(SCIE);WATER RESOURCES(SCIE)",否,否,2025 CAS/JCR user table
Desde el Jardin de Freud-Revista de Psicoanalisis,待核实,CAS 4区,待核实,CAS 4区,,,否,是,2025 CAS/JCR user table
Desenvolvimento e Meio Ambiente,0.2,JCR Q4 / CAS 4区,Q4,CAS 4区,185/191,ENVIRONMENTAL STUDIES(ESCI),否,是,2025 CAS/JCR user table
DESIDOC Journal of Library & Information Technology,0.7,JCR Q3 / CAS 4区,Q3,CAS 4区,111/166,INFORMATION SCIENCE & LIBRARY SCIENCE(ESCI),否,否,2025 CAS/JCR user table
Design and Culture,0.7,JCR N/A / CAS 3区,N/A,CAS 3区,N/A,ART(AHCI),否,否,2025 CAS/JCR user table
DESIGN AUTOMATION FOR EMBEDDED SYSTEMS,0.9,JCR Q4 / CAS 4区,Q4,CAS 4区,105/128,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE(SCIE);COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE)",否,否,2025 CAS/JCR user table
DESIGN ISSUES,0.9,JCR N/A / CAS 4区,N/A,CAS 4区,N/A,ARCHITECTURE(AHCI),否,否,2025 CAS/JCR user table
Design Journal,1.1,JCR N/A / CAS 4区,N/A,CAS 4区,N/A,ART(AHCI),否,否,2025 CAS/JCR user table
Design Science,2.6,JCR Q3 / CAS 3区,Q3,CAS 3区,41/71,"ENGINEERING, MANUFACTURING(ESCI)",否,是,2025 CAS/JCR user table
Design Studies,4.8,JCR Q1 / CAS 1区,Q1,CAS 1区,26/175,"ENGINEERING, MANUFACTURING(SCIE);ENGINEERING, MULTIDISCIPLINARY(SCIE)",是,否,2025 CAS/JCR user table
DESIGNED MONOMERS AND POLYMERS,2.3,JCR Q3 / CAS 4区,Q3,CAS 4区,59/94,POLYMER SCIENCE(SCIE),否,是,2025 CAS/JCR user table
deSignis,0.1,JCR Q4 / CAS 4区,Q4,CAS 4区,288/303,LINGUISTICS(ESCI),否,是,2025 CAS/JCR user table
DESIGNS CODES AND CRYPTOGRAPHY,1.2,JCR Q2 / CAS 3区,Q2,CAS 3区,141/343,"COMPUTER SCIENCE, THEORY & METHODS(SCIE);MATHEMATICS, APPLIED(SCIE)",否,否,2025 CAS/JCR user table
Detritus,1.3,JCR Q4 / CAS 4区,Q4,CAS 4区,72/83,"ENGINEERING, ENVIRONMENTAL(ESCI)",否,是,2025 CAS/JCR user table
Deturope-The Central European journal of Regional Development and Tourism,0.5,JCR Q4 / CAS 4区,Q4,CAS 4区,119/139,"HOSPITALITY, LEISURE, SPORT & TOURISM(ESCI)",否,是,2025 CAS/JCR user table
Deutsch als Fremdsprache-Zeitschrift zur Theorie und Praxis des Faches Deutsch als Fremdsprache,0.4,JCR N/A / CAS 4区,N/A,CAS 4区,N/A,LANGUAGE & LINGUISTICS(ESCI),否,否,2025 CAS/JCR user table
DEUTSCHE ENTOMOLOGISCHE ZEITSCHRIFT,0.9,JCR Q3 / CAS 2区,Q3,CAS 2区,72/110,ENTOMOLOGY(SCIE),否,是,2025 CAS/JCR user table
DEUTSCHE MEDIZINISCHE WOCHENSCHRIFT,0.7,JCR Q3 / CAS 4区,Q3,CAS 4区,204/332,"MEDICINE, GENERAL & INTERNAL(SCIE)",否,否,2025 CAS/JCR user table
DEUTSCHE SPRACHE,0.2,JCR N/A / CAS 4区,N/A,CAS 4区,N/A,LANGUAGE & LINGUISTICS(AHCI),否,否,2025 CAS/JCR user table
DEUTSCHE VIERTELJAHRSSCHRIFT FUR LITERATURWISSENSCHAFT UND GEISTESGESCHICHTE,0.1,JCR N/A / CAS 2区,N/A,CAS 2区,N/A,LITERARY THEORY & CRITICISM(AHCI),否,否,2025 CAS/JCR user table
Deutsche Zeitschrift fur Akupunktur,0.1,JCR Q4 / CAS 4区,Q4,CAS 4区,45/45,INTEGRATIVE & COMPLEMENTARY MEDICINE(ESCI),否,否,2025 CAS/JCR user table
DEUTSCHE ZEITSCHRIFT FUR PHILOSOPHIE,0.2,JCR N/A / CAS 4区,N/A,CAS 4区,N/A,PHILOSOPHY(AHCI),否,否,2025 CAS/JCR user table
Deutsches Arzteblatt International,7.1,JCR Q1 / CAS 2区,Q1,CAS 2区,24/332,"MEDICINE, GENERAL & INTERNAL(SCIE)",否,否,2025 CAS/JCR user table
DEVELOPING ECONOMIES,1.4,JCR Q3 / CAS 4区,Q3,CAS 4区,309/617,DEVELOPMENT STUDIES(SSCI);ECONOMICS(SSCI),否,否,2025 CAS/JCR user table
Developing World Bioethics,1.0,JCR Q3 / CAS 4区,Q3,CAS 4区,50/77,ETHICS(SSCI);MEDICAL ETHICS(SCIE),否,否,2025 CAS/JCR user table
DEVELOPMENT,3.6,JCR Q1 / CAS 2区,Q1,CAS 2区,7/39,DEVELOPMENTAL BIOLOGY(SCIE),否,否,2025 CAS/JCR user table
DEVELOPMENT AND CHANGE,3.2,JCR Q1 / CAS 2区,Q1,CAS 2区,13/65,DEVELOPMENT STUDIES(SSCI),否,否,2025 CAS/JCR user table
DEVELOPMENT AND PSYCHOPATHOLOGY,3.7,JCR Q1 / CAS 2区,Q1,CAS 2区,17/94,"PSYCHOLOGY, DEVELOPMENTAL(SSCI)",否,否,2025 CAS/JCR user table
DEVELOPMENT GENES AND EVOLUTION,0.9,JCR Q4 / CAS 4区,Q4,CAS 4区,48/53,CELL BIOLOGY(SCIE);DEVELOPMENTAL BIOLOGY(SCIE);EVOLUTIONARY BIOLOGY(SCIE),否,否,2025 CAS/JCR user table
DEVELOPMENT GROWTH & DIFFERENTIATION,1.0,JCR Q4 / CAS 4区,Q4,CAS 4区,37/39,CELL BIOLOGY(SCIE);DEVELOPMENTAL BIOLOGY(SCIE),否,否,2025 CAS/JCR user table
Development in Practice,1.4,JCR Q3 / CAS 4区,Q3,CAS 4区,37/65,DEVELOPMENT STUDIES(ESCI),否,否,2025 CAS/JCR user table
Development Policy Review,1.4,JCR Q3 / CAS 3区,Q3,CAS 3区,37/65,DEVELOPMENT STUDIES(SSCI),否,否,2025 CAS/JCR user table
Development Southern Africa,1.3,JCR Q3 / CAS 4区,Q3,CAS 4区,42/65,DEVELOPMENT STUDIES(SSCI),否,否,2025 CAS/JCR user table
DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY,2.4,JCR Q1 / CAS 3区,Q1,CAS 3区,15/181,FISHERIES(SCIE);IMMUNOLOGY(SCIE);VETERINARY SCIENCES(SCIE);ZOOLOGY(SCIE),否,否,2025 CAS/JCR user table
DEVELOPMENTAL BIOLOGY,2.1,JCR Q3 / CAS 3区,Q3,CAS 3区,20/39,DEVELOPMENTAL BIOLOGY(SCIE),否,否,2025 CAS/JCR user table
DEVELOPMENTAL CELL,8.7,JCR Q1 / CAS 1区,Q1,CAS 1区,2/39,CELL BIOLOGY(SCIE);DEVELOPMENTAL BIOLOGY(SCIE),是,否,2025 CAS/JCR user table
Developmental Cognitive Neuroscience,4.9,JCR Q1 / CAS 2区,Q1,CAS 2区,12/94,"NEUROSCIENCES(SCIE);PSYCHOLOGY, DEVELOPMENTAL(SSCI)",是,是,2025 CAS/JCR user table
DEVELOPMENTAL DYNAMICS,1.5,JCR Q2 / CAS 4区,Q2,CAS 4区,11/22,ANATOMY & MORPHOLOGY(SCIE);DEVELOPMENTAL BIOLOGY(SCIE),否,否,2025 CAS/JCR user table
DEVELOPMENTAL MEDICINE AND CHILD NEUROLOGY,4.3,JCR Q1 / CAS 2区,Q1,CAS 2区,13/191,CLINICAL NEUROLOGY(SCIE);PEDIATRICS(SCIE),否,否,2025 CAS/JCR user table
Developmental Neurobiology,2.3,JCR Q2 / CAS 4区,Q2,CAS 4区,18/39,DEVELOPMENTAL BIOLOGY(SCIE);NEUROSCIENCES(SCIE),否,否,2025 CAS/JCR user table
DEVELOPMENTAL NEUROPSYCHOLOGY,2.2,JCR Q2 / CAS 4区,Q2,CAS 4区,43/102,"PSYCHOLOGY(SCIE);PSYCHOLOGY, DEVELOPMENTAL(SSCI);PSYCHOLOGY, EXPERIMENTAL(SSCI)",否,否,2025 CAS/JCR user table
Developmental Neurorehabilitation,1.7,JCR Q2 / CAS 4区,Q2,CAS 4区,71/173,CLINICAL NEUROLOGY(SCIE);PEDIATRICS(SCIE);REHABILITATION(SCIE),否,否,2025 CAS/JCR user table
DEVELOPMENTAL NEUROSCIENCE,2.0,JCR Q3 / CAS 4区,Q3,CAS 4区,22/39,DEVELOPMENTAL BIOLOGY(SCIE);NEUROSCIENCES(SCIE),否,否,2025 CAS/JCR user table
DEVELOPMENTAL PSYCHOBIOLOGY,2.2,JCR Q2 / CAS 4区,Q2,CAS 4区,41/93,DEVELOPMENTAL BIOLOGY(SCIE);PSYCHOLOGY(SCIE),否,否,2025 CAS/JCR user table
DEVELOPMENTAL PSYCHOLOGY,3.1,JCR Q2 / CAS 2区,Q2,CAS 2区,27/94,"PSYCHOLOGY, DEVELOPMENTAL(SSCI)",是,否,2025 CAS/JCR user table
DEVELOPMENTAL REVIEW,5.6,JCR Q1 / CAS 1区,Q1,CAS 1区,7/94,"PSYCHOLOGY, DEVELOPMENTAL(SSCI)",是,否,2025 CAS/JCR user table
DEVELOPMENTAL SCIENCE,3.2,JCR Q1 / CAS 1区,Q1,CAS 1区,12/102,"PSYCHOLOGY, DEVELOPMENTAL(SSCI);PSYCHOLOGY, EXPERIMENTAL(SSCI)",是,否,2025 CAS/JCR user table
Developments in the Built Environment,8.2,JCR Q1 / CAS 2区,Q1,CAS 2区,7/183,"CONSTRUCTION & BUILDING TECHNOLOGY(SCIE);ENGINEERING, CIVIL(SCIE)",否,是,2025 CAS/JCR user table
Developpement Durable & Territoires,0.2,JCR Q4 / CAS 4区,Q4,CAS 4区,149/173,GEOGRAPHY(ESCI),否,是,2025 CAS/JCR user table
Deviance et Societe,0.2,JCR Q4 / CAS 4区,Q4,CAS 4区,201/219,CRIMINOLOGY & PENOLOGY(SSCI);SOCIOLOGY(SSCI),否,否,2025 CAS/JCR user table
DEVIANT BEHAVIOR,1.4,JCR Q2 / CAS 3区,Q2,CAS 3区,53/111,"CRIMINOLOGY & PENOLOGY(SSCI);PSYCHOLOGY, SOCIAL(SSCI);SOCIOLOGY(SSCI)",否,否,2025 CAS/JCR user table
Device,8.0,JCR Q1,Q1,待核实,85/460,"MATERIALS SCIENCE, MULTIDISCIPLINARY(ESCI)",,,2025 CAS/JCR user table
Devices and Methods of Measurements,0.2,JCR Q4 / CAS 4区,Q4,CAS 4区,78/79,INSTRUMENTS & INSTRUMENTATION(ESCI),否,是,2025 CAS/JCR user table
DIABETES,7.5,JCR Q1 / CAS 2区,Q1,CAS 2区,17/191,ENDOCRINOLOGY & METABOLISM(SCIE),是,否,2025 CAS/JCR user table
Diabetes & Metabolic Syndrome-Clinical Research & Reviews,3.4,JCR Q2 / CAS 3区,Q2,CAS 3区,75/191,ENDOCRINOLOGY & METABOLISM(ESCI),否,否,2025 CAS/JCR user table
DIABETES & METABOLISM,4.7,JCR Q1 / CAS 2区,Q1,CAS 2区,39/191,ENDOCRINOLOGY & METABOLISM(SCIE),否,否,2025 CAS/JCR user table
Diabetes & Metabolism Journal,8.5,JCR Q1 / CAS 2区,Q1,CAS 2区,13/191,ENDOCRINOLOGY & METABOLISM(SCIE),否,是,2025 CAS/JCR user table
